	   monx             mony
           1          8.9772193852833356E-006
           2          4.4873807312818147E-006
           3          3.4293588220489069E-006
           4          3.0105237972205221E-006
           5          3.0013774657436226E-006
           6          2.0889544604704643E-006
           7          1.9542462511438055E-006
           8          1.9504239036673573E-006
           9          1.5971678409898249E-006
          10          1.4119374464013588E-006
          11          1.2839645478010204E-006
          12          1.2086904807480325E-006
          13          1.1859851863067377E-006
          14          1.0156490997473014E-006
          15          9.6205380766477698E-007
          16          8.6459598175100395E-007
          17          8.0675946722835794E-007
          18          8.0299340187493715E-007
          19          7.8182685552710022E-007
          20          6.4445238896457678E-007
          21          6.4376669628279178E-007
          22          5.4741927158221335E-007
          23          5.2170557914361172E-007
          24          4.6821388542963538E-007
          25          4.3889329484382557E-007
          26          4.0467417842855436E-007
          27          3.7524036725891968E-007
          28          3.6034280349496133E-007
          29          3.5040106322653505E-007
          30          3.0175123129413069E-007
          31          2.8877248826072922E-007
          32          2.5894621365603453E-007
          33          2.4266069001149979E-007
          34          2.2400116327146991E-007
          35          2.0836736912257858E-007
          36          2.0052755365976066E-007
          37          1.9463427961242894E-007
          38          1.6754507623622925E-007
          39          1.5950451566187982E-007
          40          1.4346996375070007E-007
          41          1.3427387994646772E-007
          42          1.2405718011777342E-007
          43          1.1527259217433479E-007
          44          1.1097919860027743E-007
          45          1.0773980109351455E-007
          46          9.2569399147200342E-008
          47          8.7653670591111371E-008
          48          7.9053685032075824E-008
          49          7.3969349897057152E-008
          50          7.3968271787854218E-008
          51          7.2659497799579268E-008
          52          5.8806045649556945E-008
          53          5.7729424013129325E-008
          54          4.9593271084830306E-008
          55          4.7080579752533920E-008
          56          4.2308201877295759E-008
          57          3.9551417073836119E-008
          58          3.6500306445766647E-008
          59          3.3867786863663593E-008
          60          3.2680665781561611E-008
          61          3.1965147385470512E-008
          62          2.7136148627213441E-008
          63          2.5496989620885066E-008
          64          2.3026065107422222E-008
          65          2.1622321838858570E-008
          66          1.9915082108534768E-008
          67          1.8447230646204943E-008
          68          1.7804550211116366E-008
          69          1.7476058965507286E-008
          70          1.4767447240486879E-008
          71          1.3823911800603831E-008
          72          1.2498621419512982E-008
          73          1.1768675268078473E-008
          74          1.0817218049554763E-008
          75          1.0009369554551750E-008
          76          9.6849212481547099E-009
          77          9.5460654626480201E-009
          78          8.0176109064772207E-009
          79          7.4906306381222336E-009
          80          6.7631837303723587E-009
          81          6.3818814028045748E-009
          82          5.8554886068876596E-009
          83          5.4142640693248775E-009
          84          5.2481224235272610E-009
          85          5.1945081032274700E-009
          86          4.3319514378674257E-009
          87          4.0394292360191448E-009
          88          3.6579121551851450E-009
          89          3.4589477553144043E-009
          90          3.1607324127002102E-009
          91          2.9218256029921107E-009
          92          2.8426637603337876E-009
          93          2.8151098438005995E-009
          94          2.3409107474499488E-009
          95          2.1859288588031851E-009
          96          1.9710535661640749E-009
          97          1.8692716379804662E-009
          98          1.6995594657248622E-009
          99          1.5691756571399844E-009
         100          1.5342655770571342E-009
