        monx                      mony
  -1.6989700043360187       -5.5019511631706060     
  -1.7923916894982539       -5.8837847834587809     
  -1.8864907251724818       -6.3508579328186840     
  -1.9822712330395684       -6.8582827201084990     
  -2.0791812460476251       -7.2841949975401672     
  -2.1760912590556813       -7.7985317442630695     
  -2.2718416065364990       -8.3404962338928854     
  -2.3673559210260189       -8.8069329772029246     
  -2.4638929889859074       -9.3016161671662907     
  -2.5599066250361124       -9.7598175260810205     
  -2.6560982020128319       -10.237450552707092     
  -2.7528164311882715       -10.696146948793730     
  -2.8494194137968996       -11.284447423841147     
  -2.9459607035775686       -11.796724405665012     
