x                             1                           2                           3                        4                            5                               6
0.0000000000000000        1.0000000000000000        0.0000000000000000       -0.0000000000000000        0.0000000000000000       -0.0000000000000000        0.0000000000000000
   9.9999997764825821E-003  0.89043307266064387       0.23432448729221089      -0.22831616724297107       0.15092085634247107       -5.6356522310505121E-002   8.9942732581502708E-003
   1.9999999552965164E-002  0.78972075431184652       0.43873374149939959      -0.41564249249009405       0.27231749519018456      -0.10124624823174444        1.6116749720407664E-002
   2.9999999329447746E-002  0.69735952936176016       0.61531721560930375      -0.56542663176545926       0.36703132260746374      -0.13584925581180529        2.1567819998736571E-002
   3.9999999105930328E-002  0.61286400721693046       0.76607998761713458      -0.68095999110698680       0.43775999467134463      -0.16127999810457233        2.5535999706149115E-002
   5.0000000745058060E-002  0.53576659608261257       0.89294434454556393      -0.76538086458094745       0.48706054981084873      -0.17858886819946451        2.8198242341386522E-002
   5.9999998658895493E-002  0.46561725896140005       0.99775123734374505      -0.82167749420726643       0.51735249710852271      -0.18876374907170423        2.9720249865302834E-002
   7.0000000298023224E-002  0.40198305288396241        1.0822620725455960      -0.85269132869969178       0.53092101580189310      -0.19273160159702310        3.0256789065263339E-002
   7.9999998211860657E-002  0.34444800976681722        1.1481599897837633      -0.86112000035762737       0.52992000135898587      -0.19136000067353257        2.9952000121593492E-002
   9.0000003576278687E-002  0.29261261524775201        1.1970516943163645      -0.84952053943787620       0.51637522751827658      -0.18545870810853768        2.8939710464020253E-002
  0.10000000149011612       0.24609374344581741        1.2304687538999131      -0.82031249445086951       0.49218749569263304      -0.17578124831197789        2.7343749724483758E-002
  0.10999999940395355       0.20452408827481006        1.2498694132959551      -0.77578101869252059       0.45913570532564529      -0.16302644615136949        2.5278257947478931E-002
  0.11999999731779099       0.16755200933051126        1.2566399997586004      -0.71808001705884894       0.41888001162290561      -0.14784000434517861        2.2848000692009932E-002
  0.12999999523162842       0.13484117869594370        1.2520965281005381      -0.64923526955260480       0.37296494488630405      -0.13081606315480537        2.0148681024624655E-002
