t y
0.0 -4.4959675789e-24
0.0026 -8.48442859418e-24
0.0052 4.13412073016e-25
0.0078 1.93290737965e-23
0.0104 1.72655272644e-23
0.013 -2.21475665258e-23
0.0156 -5.05035693498e-23
0.0182 -8.87485794427e-24
0.0208 7.60832992803e-23
0.023399999999999997 1.06908701795e-22
0.026 4.33850620905e-24
0.0286 -1.98112104357e-22
0.0312 -2.70570455249e-22
0.0338 4.17602894603e-23
0.0364 5.61235987165e-22
0.039 5.86795989262e-22
0.0416 -4.05006085989e-22
0.044199999999999996 -1.85713215264e-21
0.046799999999999994 -2.23310694563e-21
0.0494 -7.04813013806e-22
0.052 9.72296687887e-22
0.054599999999999996 -9.89556005238e-22
0.0572 -8.87363495113e-21
0.0598 -2.00804652981e-20
0.0624 -2.82955772399e-20
0.065 -2.96552230601e-20
0.0676 -2.76588969687e-20
0.0702 -3.10494553696e-20
0.0728 -4.325819854e-20
0.0754 -4.14830560207e-20
0.078 4.53561741427e-20
0.08059999999999999 3.40444430768e-19
0.0832 1.01296703249e-18
0.0858 2.3148748704e-18
0.08839999999999999 4.69312914651e-18
0.091 8.96976210125e-18
0.09359999999999999 1.66198452163e-17
0.0962 3.00953056091e-17
0.0988 5.30743697909e-17
0.10139999999999999 9.06875295582e-17
0.104 1.49790338714e-16
0.1066 2.39222644854e-16
0.10919999999999999 3.69754868948e-16
0.1118 5.52335361828e-16
0.1144 7.9174435393e-16
0.11699999999999999 1.07229966551e-15
0.1196 1.33070548904e-15
0.12219999999999999 1.40795171745e-15
0.1248 9.64926380985e-16
0.12739999999999999 -6.65900880715e-16
0.13 -4.73510391053e-15
0.1326 -1.34990556602e-14
0.1352 -3.08998262903e-14
0.1378 -6.36356744209e-14
0.1404 -1.22808447439e-13
0.143 -2.2642364329e-13
0.1456 -4.03116830281e-13
0.1482 -6.97633411543e-13
0.1508 -1.17868735605e-12
0.15339999999999998 -1.95005903786e-12
0.156 -3.1658625374e-12
0.1586 -5.05132914663e-12
0.16119999999999998 -7.93016086825e-12
0.1638 -1.2260010715e-11
0.1664 -1.86769627541e-11
0.16899999999999998 -2.80501316618e-11
0.1716 -4.15449757929e-11
0.1742 -6.06953792781e-11
0.17679999999999998 -8.74783162574e-11
0.1794 -1.24387000699e-10
0.182 -1.744904915e-10
0.1846 -2.41469511053e-10
0.18719999999999998 -3.2960345564e-10
0.1898 -4.43703074282e-10
0.1924 -5.88947779434e-10
0.19499999999999998 -7.70627117674e-10
0.1976 -9.93753968004e-10
0.2002 -1.26256050059e-09
0.20279999999999998 -1.57985358129e-09
0.2054 -1.94630445094e-09
0.208 -2.35965447182e-09
0.21059999999999998 -2.81396417279e-09
0.2132 -3.29894844775e-09
0.2158 -3.79953846164e-09
0.21839999999999998 -4.29572821758e-09
0.221 -4.76286388107e-09
0.2236 -5.17240650311e-09
0.22619999999999998 -5.49322720644e-09
0.2288 -5.69340841139e-09
0.2314 -5.74248559815e-09
0.23399999999999999 -5.61397683896e-09
0.23659999999999998 -5.2880082535e-09
0.2392 -4.75378314491e-09
0.2418 -4.01162481012e-09
0.24439999999999998 -3.07435565894e-09
0.247 -1.96773197736e-09
0.2496 -7.29907689845e-10
0.2522 5.90248738774e-10
0.25479999999999997 1.93585170116e-09
0.25739999999999996 3.24555626818e-09
0.26 4.45765735435e-09
0.2626 5.51450085595e-09
0.2652 6.36654462483e-09
0.2678 6.97611213241e-09
0.2704 7.3200361328e-09
0.27299999999999996 7.39125738392e-09
0.2756 7.19910531188e-09
0.2782 6.76828904034e-09
0.2808 6.13668760252e-09
0.2834 5.35220578968e-09
0.286 4.46893366757e-09
0.28859999999999997 3.5430911538e-09
0.2912 2.62896415748e-09
0.2938 1.77535364188e-09
0.2964 1.02259423151e-09
0.299 4.00520727695e-10
0.3016 -7.26183280175e-11
0.30419999999999997 -3.90284471408e-10
0.30679999999999996 -5.56888091197e-10
0.3094 -5.86313220197e-10
0.312 -4.9987369799e-10
0.3146 -3.23979731931e-10
0.3172 -8.76810568595e-11
0.3198 1.79679868206e-10
0.32239999999999996 4.50568693466e-10
0.325 7.00951297006e-10
0.3276 9.11554387528e-10
0.3302 1.06860187365e-09
0.3328 1.1640657327e-09
0.3354 1.19546927912e-09
0.33799999999999997 1.16530785021e-09
0.34059999999999996 1.08018083367e-09
0.3432 9.49733180988e-10
0.3458 7.85516762747e-10
0.3484 5.99849947491e-10
0.351 4.04794864295e-10
0.35359999999999997 2.11286807494e-10
0.35619999999999996 2.84970241848e-11
0.3588 -1.36585937005e-10
0.3614 -2.79317236007e-10
0.364 -3.97339050551e-10
0.3666 -4.90337770387e-10
0.3692 -5.59662094446e-10
0.37179999999999996 -6.07864647506e-10
0.37439999999999996 -6.38203045966e-10
0.377 -6.54168719194e-10
0.3796 -6.59077459275e-10
0.3822 -6.55745679978e-10
0.3848 -6.46279252337e-10
0.38739999999999997 -6.31970031861e-10
0.38999999999999996 -6.13299189212e-10
0.3926 -5.90031357106e-10
0.3952 -5.61378721287e-10
0.3978 -5.26212629026e-10
0.4004 -4.83300954812e-10
0.40299999999999997 -4.31546132162e-10
0.40559999999999996 -3.70208974587e-10
0.4082 -2.99101854395e-10
0.4108 -2.18730741852e-10
0.4134 -1.30389893327e-10
0.416 -3.61883439881e-11
0.41859999999999997 6.09805816953e-11
0.42119999999999996 1.57545684831e-10
0.42379999999999995 2.49419151999e-10
0.4264 3.32216254506e-10
0.429 4.01518818194e-10
0.4316 4.53167281478e-10
0.4342 4.83566742204e-10
0.43679999999999997 4.89974505413e-10
0.43939999999999996 4.70753658277e-10
0.442 4.2556735913e-10
0.4446 3.55491192039e-10
0.4472 2.63030486281e-10
0.4498 1.52038867607e-10
0.45239999999999997 2.75262868055e-11
0.45499999999999996 -1.04618855246e-10
0.4576 -2.37982966667e-10
0.4602 -3.66028318766e-10
0.4628 -4.82506923305e-10
0.4654 -5.81869885607e-10
0.46799999999999997 -6.59612586773e-10
0.47059999999999996 -7.1254913081e-10
0.47319999999999995 -7.38992422811e-10
0.4758 -7.3881301077e-10
0.4784 -7.13386016926e-10
0.481 -6.65429045199e-10
0.4836 -5.98745719671e-10
0.48619999999999997 -5.17897058572e-10
0.48879999999999996 -4.27833546368e-10
0.4914 -3.33518768159e-10
0.494 -2.39576580796e-10
0.4966 -1.499853991e-10
0.4992 -6.78573169877e-11
0.5018 4.69237669554e-12
0.5044 6.65804356093e-11
0.507 1.17683071621e-10
0.5095999999999999 1.58684343443e-10
0.5122 1.90852306181e-10
0.5147999999999999 2.15781434387e-10
0.5174 2.35120589664e-10
0.52 2.50324649897e-10
0.5226 2.62452282129e-10
0.5252 2.72035727278e-10
0.5277999999999999 2.79030354378e-10
0.5304 2.82852186118e-10
0.533 2.82488699099e-10
0.5356 2.76674461119e-10
0.5382 2.64100519232e-10
0.5408 2.43636666397e-10
0.5434 2.14529394249e-10
0.5459999999999999 1.76565276289e-10
0.5486 1.30165364598e-10
0.5512 7.64058399882e-11
0.5538 1.69777802927e-11
