time signal freq spectre 
0.0 -1.8443565585705528e-05 0.0 4.83149696868723e-07
0.01 -0.00014897023964985352 1.0 0.026912678065162194
0.02 -0.0009692515861872119 2.0 0.10446784113455537
0.03 -0.00505650858876989 3.0 0.22358868925299413
0.04 -0.021011342228416083 4.0 0.37061830231994125
0.05 -0.06883917930116132 5.0 0.529249821187388
0.06 -0.17486048900510937 6.0 0.6827333366235884
0.07 -0.3336907922964697 7.0 0.8159932369490606
0.08 -0.44493452160017055 8.0 0.9173314379853491
0.09 -0.31943995607776215 9.0 0.9794925500684267
0.1 0.14179420010825183 10.0 1.0
0.11 0.7271772599713077 11.0 0.9808066648269606
0.12 1.0 12.0 0.9274121752445763
0.13 0.7271772599713069 13.0 0.847663554051163
0.14 0.1417942001082502 14.0 0.7504704095002461
0.15 -0.31943995607776215 15.0 0.6446363537885443
0.16 -0.4449345216001705 16.0 0.5379488230302979
0.17 -0.33369079229646925 17.0 0.4365976833477768
0.18 -0.17486048900510937 18.0 0.3449253378654621
0.19 -0.06883917930116124 19.0 0.2654592933360704
0.2 -0.021011342228416004 20.0 0.1991479609937056
0.21 -0.00505650858876989 21.0 0.1457116973898923
0.22 -0.0009692515861872089 22.0 0.10402936222048016
0.23 -0.00014897023964985303 23.0 0.07249951524554181
0.24 -1.8443565585705528e-05 24.0 0.04933821774286564
0.25 -1.8455538703657149e-06 25.0 0.03279695962073859
0.26 -1.4963597118176454e-07 26.0 0.02130117291593775
0.27 -9.849492519747894e-09 27.0 0.013520767531454314
0.28 -5.271369257286787e-10 28.0 0.008389360878745287
0.29 -2.2966640991107956e-11 29.0 0.005089574187439764
0.3 -8.154000901273559e-13 30.0 0.003019532666365094
0.31 -2.361037956413379e-14 31.0 0.0017520687126039577
0.32 -5.579499975750437e-16 32.0 0.000994278047866289
0.33 -1.076719219815846e-17 33.0 0.0005517593485832283
0.34 -1.6976261776996527e-19 34.0 0.00029939832960363354
0.35000000000000003 -2.1877684388319213e-21 35.0 0.00015894572897396725
0.36 -2.3053812578684304e-23 36.0 8.272336311404658e-05
0.37 -1.9870467865289043e-25 37.0 4.236829706249736e-05
0.38 -1.4012703373453636e-27 38.0 2.141862370048724e-05
0.39 -8.087127648605854e-30 39.0 1.0622492158562111e-05
0.4 -3.8205235944571697e-32 40.0 5.021030570575832e-06
0.41000000000000003 -1.4777290840545817e-34 41.0 2.102660097588365e-06
0.42 -4.680455824831565e-37 42.0 6.476444605263766e-07
0.43 -1.2141520229963224e-39 43.0 2.654922498419899e-07
0.44 -2.5799597770634637e-42 44.0 4.309919500300455e-07
0.45 -4.491228458362824e-45 45.0 4.7117309969635735e-07
0.46 -6.405925155420759e-48 46.0 4.4873658258891217e-07
0.47000000000000003 -7.48704793016406e-51 47.0 4.2314032302230965e-07
0.48 -7.171249952900351e-54 48.0 4.1142086002107027e-07
0.49 -5.6295596420654e-57 49.0 4.089401051996448e-07
0.5 -3.622312353899661e-60 -50.0 4.0891270177453416e-07
0.51 -1.910570091830019e-63 -49.0 4.089401052963187e-07
0.52 -8.261078742639186e-67 -48.0 4.114208600840591e-07
0.53 -2.928437952983856e-70 -47.0 4.231403229960597e-07
0.54 -8.511134110475016e-74 -46.0 4.4873658267932415e-07
0.55 -2.0282231826562847e-77 -45.0 4.7117309962915905e-07
0.56 -3.9631817136730027e-81 -44.0 4.309919499926999e-07
0.5700000000000001 -6.350290983323162e-85 -43.0 2.654922499275455e-07
0.58 -8.344199862150798e-89 -42.0 6.476444605358349e-07
0.59 -8.991578275374843e-93 -41.0 2.1026600975858675e-06
0.6 -7.946298128989881e-97 -40.0 5.021030570575832e-06
0.61 -5.759541534060563e-101 -39.0 1.062249215859551e-05
0.62 -3.4238958309762283e-105 -38.0 2.1418623700497086e-05
0.63 -1.6694647419676974e-109 -37.0 4.236829706254501e-05
0.64 -6.676851201706145e-114 -36.0 8.272336311402632e-05
0.65 -2.1903663258889895e-118 -35.0 0.0001589457289740247
0.66 -5.8941958903077116e-123 -34.0 0.00029939832960351113
0.67 -1.3010877947794697e-127 -33.0 0.0005517593485833227
0.68 -2.3559914717846297e-132 -32.0 0.0009942780478663078
0.6900000000000001 -3.4997431027710426e-137 -31.0 0.0017520687126040366
0.7000000000000001 -4.264849281530972e-142 -30.0 0.0030195326663650045
0.71 -4.2636888649197036e-147 -29.0 0.005089574187439654
0.72 -3.4969576822188067e-152 -28.0 0.008389360878745438
0.73 -2.3530254475307635e-157 -27.0 0.013520767531454113
0.74 -1.2989790904281037e-162 -26.0 0.021301172915937742
0.75 -5.883347723130738e-168 -25.0 0.03279695962073855
0.76 -2.186255265868407e-173 -24.0 0.0493382177428656
0.77 -6.665581650746946e-179 -23.0 0.07249951524554184
0.78 -1.667410736098061e-184 -22.0 0.10402936222048013
0.79 -3.422320816080971e-190 -21.0 0.1457116973898924
0.8 -5.76339491149649e-196 -20.0 0.1991479609937056
0.81 -7.963816806727462e-202 -19.0 0.2654592933360704
0.8200000000000001 -9.029315081167837e-208 -18.0 0.3449253378654621
0.8300000000000001 -8.40009559186816e-214 -17.0 0.43659768334777677
0.84 -6.412310020534892e-220 -16.0 0.5379488230302978
0.85 -4.016524676926262e-226 -15.0 0.6446363537885444
0.86 -2.0644130666795846e-232 -14.0 0.750470409500246
0.87 -8.706776400499198e-239 -13.0 0.8476635540511629
0.88 -3.013263018177448e-245 -12.0 0.9274121752445763
0.89 -8.557356175086192e-252 -11.0 0.9808066648269603
0.9 -1.9942012961321542e-258 -10.0 1.0
0.91 -3.8135456555231925e-265 -9.0 0.9794925500684267
0.92 -5.984434061604817e-272 -8.0 0.9173314379853491
0.93 -7.706459087869308e-279 -7.0 0.8159932369490605
0.9400000000000001 -8.143810692349103e-286 -6.0 0.6827333366235883
0.9500000000000001 -7.062276032230986e-293 -5.0 0.5292498211873878
0.96 -5.025844424614284e-300 -4.0 0.3706183023199413
0.97 -2.9351055616104543e-307 -3.0 0.22358868925299416
0.98 -1.406668042e-314 -2.0 0.1044678411345554
0.99 -0.0 -1.0 0.02691267806516225
