t y
0.0 -4.4959675789e-24
0.0026 -8.48442859418e-24
0.0052 4.13412073016e-25
0.0078 1.93290737965e-23
0.0104 1.72655272644e-23
0.013 -2.21475665258e-23
0.0156 -5.05035693498e-23
0.0182 -8.87485794427e-24
0.0208 7.60832992803e-23
0.023399999999999997 1.06908701795e-22
0.026 4.33850620905e-24
0.0286 -1.98112104357e-22
0.0312 -2.70570455249e-22
0.0338 4.17602894603e-23
0.0364 5.61235987165e-22
0.039 5.86795989262e-22
0.0416 -4.05006085989e-22
0.044199999999999996 -1.85713215264e-21
0.046799999999999994 -2.23310694563e-21
0.0494 -7.04813013806e-22
0.052 9.72296687887e-22
0.054599999999999996 -9.89556005238e-22
0.0572 -8.87363495113e-21
0.0598 -2.00804652981e-20
0.0624 -2.82955772399e-20
0.065 -2.96552230601e-20
0.0676 -2.76588969687e-20
0.0702 -3.10494553696e-20
0.0728 -4.325819854e-20
0.0754 -4.14830560207e-20
0.078 4.53561741427e-20
0.08059999999999999 3.40444430768e-19
0.0832 1.01296703249e-18
0.0858 2.3148748704e-18
0.08839999999999999 4.69312914651e-18
0.091 8.96976210125e-18
0.09359999999999999 1.66198452163e-17
0.0962 3.00953056091e-17
0.0988 5.30743697909e-17
0.10139999999999999 9.06875295582e-17
0.104 1.49790338714e-16
0.1066 2.39222644854e-16
0.10919999999999999 3.69754868948e-16
0.1118 5.52335361828e-16
0.1144 7.9174435393e-16
0.11699999999999999 1.07229966551e-15
0.1196 1.33070548904e-15
0.12219999999999999 1.40795171745e-15
0.1248 9.64926380985e-16
0.12739999999999999 -6.65900880715e-16
0.13 -4.73510391053e-15
0.1326 -1.34990556602e-14
0.1352 -3.08998262903e-14
0.1378 -6.36356744209e-14
0.1404 -1.22808447439e-13
0.143 -2.2642364329e-13
0.1456 -4.03116830281e-13
0.1482 -6.97633411543e-13
0.1508 -1.17868735605e-12
0.15339999999999998 -1.95005903786e-12
0.156 -3.1658625374e-12
0.1586 -5.05132914663e-12
0.16119999999999998 -7.93016086825e-12
0.1638 -1.2260010715e-11
0.1664 -1.86769627541e-11
0.16899999999999998 -2.80501316618e-11
0.1716 -4.15449757929e-11
0.1742 -6.06953792781e-11
0.17679999999999998 -8.74783162574e-11
0.1794 -5.04389641165e-10
0.182 1.24150967284e-10
0.1846 -4.00913302556e-10
0.18719999999999998 -5.60768542712e-10
0.1898 -5.15591791483e-10
0.1924 -2.61523691591e-10
0.19499999999999998 -4.21255696992e-10
0.1976 -1.25528520911e-09
0.2002 -1.46679179913e-09
0.20279999999999998 -1.77986669847e-09
0.2054 -2.15941176052e-09
0.208 -2.05565653388e-09
0.21059999999999998 -2.71956546172e-09
0.2132 -3.04035885357e-09
0.2158 -3.54089824128e-09
0.21839999999999998 -4.00720168159e-09
0.221 -5.35295896498e-09
0.2236 -5.18198106647e-09
0.22619999999999998 -5.47113643279e-09
0.2288 -5.58112489557e-09
0.2314 -6.27787599683e-09
0.23399999999999999 -5.60233459623e-09
0.23659999999999998 -5.02578245687e-09
0.2392 -4.61880844682e-09
0.2418 -4.24491730655e-09
0.24439999999999998 -3.4504739066e-09
0.247 -1.88349202901e-09
0.2496 -6.49597486913e-10
0.2522 2.06239678113e-10
0.25479999999999997 1.47407930307e-09
0.25739999999999996 3.18730641879e-09
0.26 4.68736516268e-09
0.2626 5.8652709356e-09
0.2652 6.15374062818e-09
0.2678 6.94812385404e-09
0.2704 7.28928739591e-09
0.27299999999999996 6.98207003325e-09
0.2756 6.92336854513e-09
0.2782 6.65991706228e-09
0.2808 6.37309938156e-09
0.2834 5.17280440704e-09
0.286 4.27522905966e-09
0.28859999999999997 3.58651441879e-09
0.2912 2.62408450524e-09
0.2938 1.44328571317e-09
0.2964 1.04184594285e-09
0.299 9.7180333225e-11
0.3016 -4.22618745555e-11
0.30419999999999997 -5.75814951276e-10
0.30679999999999996 -4.66579219704e-10
0.3094 -3.09556824618e-10
0.312 -3.81080500489e-10
0.3146 -2.17697276872e-10
0.3172 -4.31719993088e-10
0.3198 1.13961354242e-10
0.32239999999999996 1.67161492981e-10
0.325 3.04691827324e-10
0.3276 4.33119096144e-10
0.3302 1.16889897761e-09
0.3328 1.1538732192e-09
0.3354 1.15224607633e-09
0.33799999999999997 8.75003847156e-10
0.34059999999999996 1.3998575632e-09
0.3432 1.18526943815e-09
0.3458 4.22200052697e-10
0.3484 3.23360671572e-10
0.351 5.97192739704e-10
0.35359999999999997 -2.10708395176e-11
0.35619999999999996 1.78880049662e-10
0.3588 -5.88005422131e-10
0.3614 -2.22486140622e-10
0.364 -3.57826213104e-10
0.3666 -8.82870887509e-10
0.3692 -5.02059283036e-10
0.37179999999999996 -2.17300996641e-10
0.37439999999999996 -7.95296495326e-10
0.377 -1.01209174375e-09
0.3796 -6.87485846029e-10
0.3822 -4.4861359072e-10
0.3848 -4.76696904173e-10
0.38739999999999997 -4.86278572964e-10
0.38999999999999996 -7.24530435647e-10
0.3926 -5.96058757907e-10
0.3952 -4.30662616679e-10
0.3978 -4.61237714688e-10
0.4004 -7.54271756165e-10
0.40299999999999997 -3.9161496268e-10
0.40559999999999996 -4.38341141162e-10
0.4082 1.17985995973e-10
0.4108 -3.25716564831e-10
0.4134 -3.94561938677e-10
0.416 1.11587614149e-11
0.41859999999999997 2.02845615305e-10
0.42119999999999996 2.04798261683e-10
0.42379999999999995 -7.67996360951e-11
0.4264 -1.67123120898e-11
0.429 9.14138348351e-11
0.4316 8.17149681254e-10
0.4342 3.92459842402e-10
0.43679999999999997 5.25253396333e-10
0.43939999999999996 4.65828264851e-10
0.442 6.91567692002e-10
0.4446 1.64869937147e-10
0.4472 3.52383455748e-10
0.4498 4.8077319903e-10
0.45239999999999997 8.16353842165e-12
0.45499999999999996 2.48210896281e-11
0.4576 -3.40112604746e-10
0.4602 -4.68255212382e-10
0.4628 -3.52151197092e-10
0.4654 -2.24302437735e-10
0.46799999999999997 -7.28488158686e-10
0.47059999999999996 -5.61795276965e-10
0.47319999999999995 -5.48171952275e-10
0.4758 -2.40749864489e-10
0.4784 -6.88638257529e-10
0.481 -9.38434663311e-10
0.4836 -9.63818136412e-10
0.48619999999999997 -4.87906381963e-10
0.48879999999999996 -4.36811475879e-10
0.4914 -6.10445916038e-10
0.494 -3.89733356698e-10
0.4966 -2.1094920255e-10
0.4992 -5.44383704781e-11
0.5018 7.65187635476e-11
0.5044 3.68454600164e-10
0.507 -6.59334808972e-11
0.5095999999999999 3.09623882089e-10
0.5122 9.169723314e-11
0.5147999999999999 3.28348903622e-10
0.5174 4.05597111452e-10
0.52 4.04960065481e-10
0.5226 2.37988739826e-10
0.5252 1.87507093186e-10
0.5277999999999999 8.44038172687e-11
0.5304 5.84488901723e-10
0.533 2.3716051345e-10
0.5356 3.77311959454e-10
0.5382 1.89700172237e-10
0.5408 5.40621547529e-10
0.5434 6.01267646783e-11
0.5459999999999999 2.90798718439e-10
0.5486 2.36393127295e-10
0.5512 -1.0701774189e-10
0.5538 3.34568817095e-10
