        monx                      mony
  -1.6989700043360187       -3.6892402345728432     
  -1.7923916894982539       -4.0697653919799128     
  -1.8864907251724818       -4.4085695917885923     
  -1.9822712330395684       -4.7268845285178278     
  -2.0791812460476251       -4.9243884799164217     
  -2.1760912590556813       -5.1467934175317120     
  -2.2718416065364990       -5.4276027146911439     
  -2.3673559210260189       -5.7395962176197015     
  -2.4638929889859074       -6.1057195321156854     
  -2.5599066250361124       -6.5206315509679751     
  -2.6560982020128319       -6.9694873132503794     
  -2.7528164311882715       -7.4393440829944932     
  -2.8494194137968996       -7.8979772818835849     
  -2.9459607035775686       -8.3642884052735944     
