 x y
   1.00000000       1.00000000    
   2.00000000      0.395942390    
   3.00000000      0.262965500    
   4.00000000      0.137626082    
   5.00000000      0.104451656    
   6.00000000       7.77971596E-02
   7.00000000       5.68691194E-02
   8.00000000       5.13337590E-02
   9.00000000       4.28792089E-02
   10.0000000       3.96339968E-02
   11.0000000       3.93842757E-02
   12.0000000       3.44647057E-02
   13.0000000       3.32258195E-02
   14.0000000       3.16602550E-02
   15.0000000       3.12389135E-02
   16.0000000       3.02318223E-02
   17.0000000       2.95204986E-02
   18.0000000       2.88333055E-02
   19.0000000       2.80621182E-02
   20.0000000       2.73968242E-02
