t                                  bb                nodal                    ref
0.0                            -6.95873606996e-39    -7.13952038744e-39     -5.92828563902e-39
0.0026                         -6.20660032962e-39	-6.06270939811e-39     5.95113801438e-39
0.0052                         7.84297782172e-39	8.15441080023e-39      6.06752706223e-39
0.0078                         6.4943317459e-39	-6.18116676249e-39     5.97286094317e-39
0.0104                         -8.94713935448e-39	-8.44008791295e-39     -6.1115390444e-39
0.013                          -7.43483282841e-39	5.92908998434e-39      -6.34799975246e-39
0.0156                         9.75560449049e-39	5.98712335894e-39      -5.93686438822e-39
0.0182                         1.12293697036e-38	1.22126075867e-38      6.74068281852e-39
0.0208                         -1.0088578229e-38	1.08691743411e-38      7.14894271831e-39
0.023399999999999997           -3.45582173662e-38	-5.84296618073e-38     -6.36732085569e-39
0.026                          1.68060779657e-38	-9.01416346003e-39     -9.8101598423e-39
0.0286                         8.70559249351e-38	1.65239366093e-37      -8.52336708069e-39
0.0312                         -6.8622280842e-38	-6.8133776987e-38      1.53125404313e-38
0.0338                         -1.47292970291e-37	-3.32622920623e-37     2.22595644487e-38
0.0364                         2.34449833557e-37	3.14992702596e-37      -2.14896714542e-38
0.039                          5.94952315803e-38	4.87142600092e-37      -5.31451298801e-38
0.0416                         -5.4130052124e-37	-8.62362572586e-37     2.68478360104e-38
0.044199999999999996           6.31343027987e-37	-4.55365321185e-37     1.00003743379e-37
0.046799999999999994           6.54568798937e-37	1.87929719957e-36      -5.67639327175e-38
0.0494                         -2.78614904779e-36	-5.27876978783e-38     -1.89195247174e-37
0.052                          8.99234524294e-37	-3.76864249386e-36     1.90808466808e-37
0.054599999999999996           7.34542915682e-36	1.67600713193e-36      4.49503230083e-37
0.0572                         -8.20517728762e-36	7.58812741429e-36      -5.60156707267e-37
0.0598                         -1.36460200451e-35	-6.34587511494e-36     -1.23845906288e-36
0.0624                         3.00690995763e-35	-1.5422175938e-35      1.2735545717e-36
0.065                          1.45476035492e-35	1.96699694156e-35      3.26504891885e-36
0.0676                         -8.1600740056e-35	2.98421051887e-35      -2.32634809008e-36
0.0702                         1.43845840641e-35	-5.57249066315e-35     -7.77281146692e-36
0.0728                         1.81939078173e-34	-5.05766316757e-35     3.59649829124e-36
0.0754                         -1.34851139243e-34	1.45547770494e-34      1.73353044734e-35
0.078                          -3.4185065495e-34	6.47137190777e-35      -4.34294724852e-36
0.08059999999999999            4.78095041986e-34	-3.51450403035e-34     -3.81287204724e-35
0.0832                         5.31808705333e-34	-2.26923444708e-35     -6.14355165176e-37
0.0858                         -1.29268048468e-33	7.9020017973e-34       8.22709669864e-35
0.08839999999999999            -6.18770675381e-34	-2.15490155025e-34     3.30938393955e-35
0.091                          3.01256849356e-33	-1.66720125005e-33     -1.60817533947e-34
0.09359999999999999            2.59807394077e-34	9.88619401716e-34      -1.52141765748e-34
0.0962                         -6.3581020068e-33	3.32390423352e-33      2.47261563276e-34
0.0988                         1.25670760248e-33	-3.03066669846e-33     4.60094733726e-34
0.10139999999999999            1.25052057164e-32	-6.30720604015e-33     -1.96389290179e-34
0.104                          -5.2320342547e-33	7.7994373438e-33       -1.03262072666e-33
0.1066                         -2.34046420685e-32	1.14763102048e-32      -3.4538779092e-34
0.10919999999999999            1.38644298342e-32	-1.79820337309e-32     1.69424588531e-33
0.1118                         4.24070724868e-32	-2.0159490079e-32      1.89153626538e-33
0.1144                         -3.06916520374e-32	3.81749871953e-32      -1.63916699548e-33
0.11699999999999999            -7.54562519132e-32	3.43705085451e-32      -4.65670323837e-33
0.1196                         6.12253411439e-32	-7.56365727466e-32     -8.42531167848e-34
0.12219999999999999            1.3326212701e-31	-5.71041049697e-32     7.41647891672e-33
0.1248                         -1.13759077058e-31	1.40958041505e-31      7.76267375798e-33
0.12739999999999999            -2.35070282142e-31	9.26275912713e-32      -5.9016017144e-33
0.13                           1.9998793536e-31	-2.48741375481e-31     -1.85885888159e-32
0.1326                         4.14849447761e-31	-1.46078635957e-31     -7.35358996895e-33
0.1352                         -3.34209124701e-31	4.19159750447e-31      2.43793472905e-32
0.1378                         -7.30777331338e-31	2.20189417036e-31      3.66859738075e-32
0.1404                         5.2803822198e-31	-6.82917125864e-31     -3.30818199658e-33
0.143                          1.27825098884e-30	-3.05165621538e-31     -6.52264417955e-32
0.1456                         -7.74943710384e-31	1.09582178875e-30      -6.63349329683e-32
0.1482                         -2.20369418135e-30	3.58084637481e-31      3.49257709341e-32
0.1508                         1.01674731821e-30	-1.77726996986e-30     1.55067547218e-31
0.15339999999999998            3.7084367886e-30	-2.75117728982e-31     1.27210682092e-31
0.156                          -1.08527205609e-30	2.99987437268e-30      -1.16278396551e-31
0.1586                         -6.01843854129e-30	-1.1974097973e-31      -3.70801605566e-31
0.16119999999999998            6.24207483691e-31	-5.3693986454e-30      -2.56383029157e-31
0.1638                         9.28316514483e-30	1.00626153244e-30      3.33424505732e-31
0.1664                         9.73884092199e-31	1.01275552747e-29      8.61260072486e-31
0.16899999999999998            -1.33755834638e-29	-2.30106498637e-30     5.10881552791e-31
0.1716                         -4.53534609496e-30	-1.95595639593e-29     -7.98738067033e-31
0.1742                         1.76192376885e-29	3.03030632275e-30      -1.88163430798e-30
0.17679999999999998            1.08618168183e-29	3.73780029894e-29      -1.17243016619e-30
0.1794                         -2.05717244045e-29	-1.84295273856e-31     1.52448940771e-30
0.182                          -2.0198816219e-29	-6.88273917568e-29     4.0865389664e-30
0.1846                         2.00976326745e-29	-1.30270503291e-29     3.25100284805e-30
0.18719999999999998            3.14871610685e-29	1.20205340624e-28      -2.24933345482e-30
